week_end,jurisdiction,rsv_pct,rsv_pct_smoothed,covid_pct,flu_pct,combined_pct,season,in_fixed_window,state_abbrev,hhs_region,is_southeast,is_comparator
2023-07-15,Nebraska,0.01,0.01,0.18,0.01,0.19,2023-2024,False,NE,7,False,False
2023-07-15,New Hampshire,0.0,0.01,0.55,0.03,,2023-2024,False,NH,1,False,False
2023-07-15,North Carolina,0.01,0.01,0.73,0.3,1.02,2023-2024,False,NC,4,True,False
2023-07-15,Utah,0.0,0.01,0.59,0.1,0.69,2023-2024,False,UT,8,False,False
2023-07-15,West Virginia,0.01,0.0,0.36,0.05,0.41,2023-2024,False,WV,3,False,False
2023-07-22,Georgia,0.03,0.02,0.72,0.14,0.89,2023-2024,False,GA,4,True,False
2023-07-22,Alaska,0.0,0.0,1.92,0.42,2.3,2023-2024,False,AK,10,False,False
2023-07-22,Illinois,0.01,0.01,0.58,0.06,0.65,2023-2024,False,IL,5,False,False
2023-07-22,Michigan,0.0,0.0,0.4,0.04,0.44,2023-2024,False,MI,5,False,False
2023-07-22,Minnesota,0.02,0.01,0.54,0.08,0.64,2023-2024,False,MN,5,False,True
2023-07-22,Nebraska,0.01,0.0,0.18,0.03,0.22,2023-2024,False,NE,7,False,False
2023-07-22,New York,0.01,0.01,0.51,0.06,0.58,2023-2024,False,NY,2,False,True
2023-07-22,North Dakota,0.02,0.02,0.5,0.04,0.54,2023-2024,False,ND,8,False,False
2023-07-22,South Carolina,0.02,0.02,0.97,0.15,1.12,2023-2024,False,SC,4,True,False
2023-07-22,Tennessee,0.02,0.03,0.77,0.14,0.92,2023-2024,False,TN,4,True,False
2023-07-22,Utah,0.02,0.01,0.65,0.11,0.77,2023-2024,False,UT,8,False,False
2023-07-22,Wisconsin,0.0,0.01,0.38,0.02,0.41,2023-2024,False,WI,5,False,False
2023-07-22,Delaware,0.0,0.02,0.68,0.05,0.72,2023-2024,False,DE,3,False,False
2023-07-22,Hawaii,0.01,0.01,2.37,1.15,3.51,2023-2024,False,HI,9,False,False
2023-07-22,Iowa,0.05,0.03,0.87,0.19,1.06,2023-2024,False,IA,7,False,False
2023-07-22,Kansas,0.01,0.02,0.36,0.06,0.43,2023-2024,False,KS,7,False,False
2023-07-22,Kentucky,0.02,0.03,0.47,0.1,0.59,2023-2024,False,KY,4,False,False
2023-07-22,Maryland,0.03,0.02,0.65,0.06,0.73,2023-2024,False,MD,3,False,False
2023-07-22,Alabama,0.04,0.04,1.22,0.18,1.42,2023-2024,False,AL,4,True,False
2023-07-22,Arizona,0.01,0.01,0.88,0.2,1.09,2023-2024,False,AZ,9,False,False
2023-07-22,Arkansas,0.03,0.03,0.49,0.14,0.65,2023-2024,False,AR,6,True,False
2023-07-22,California,0.01,0.01,0.96,0.08,1.04,2023-2024,False,CA,9,False,False
2023-07-22,District of Columbia,0.04,0.04,0.49,0.08,0.61,2023-2024,False,DC,3,False,False
2023-07-22,Florida,0.1,0.1,2.09,0.62,2.79,2023-2024,False,FL,4,False,False
2023-07-22,Louisiana,0.02,0.02,1.74,0.14,1.89,2023-2024,False,LA,6,True,False
2023-07-22,Maine,0.01,0.0,0.53,0.03,0.56,2023-2024,False,ME,1,False,False
2023-07-22,North Carolina,0.01,0.01,0.97,0.29,1.25,2023-2024,False,NC,4,True,False
2023-07-22,Oregon,0.0,0.0,0.97,0.06,1.03,2023-2024,False,OR,10,False,False
2023-07-22,West Virginia,0.03,0.01,0.38,0.06,0.46,2023-2024,False,WV,3,False,False
2023-07-22,Massachusetts,0.01,0.01,0.72,0.05,0.78,2023-2024,False,MA,1,False,False
2023-07-22,Mississippi,0.04,0.03,1.13,0.21,1.36,2023-2024,False,MS,4,True,False
2023-07-22,Montana,0.0,0.02,0.51,0.03,0.54,2023-2024,False,MT,8,False,False
2023-07-22,Nevada,0.01,0.01,0.87,0.11,0.99,2023-2024,False,NV,9,False,False
2023-07-22,New Hampshire,0.02,0.01,0.46,0.05,,2023-2024,False,NH,1,False,False
2023-07-22,New Jersey,0.01,0.01,0.54,0.08,0.63,2023-2024,False,NJ,2,False,False
2023-07-22,New Mexico,0.01,0.01,0.9,0.08,0.97,2023-2024,False,NM,6,False,False
2023-07-22,Ohio,0.0,0.0,0.41,0.04,0.46,2023-2024,False,OH,5,False,False
2023-07-22,Pennsylvania,0.01,0.0,0.34,0.04,0.39,2023-2024,False,PA,3,False,False
2023-07-22,South Dakota,0.0,0.0,0.2,0.02,,2023-2024,False,SD,8,False,False
2023-07-22,Texas,0.06,0.06,1.0,0.21,1.25,2023-2024,False,TX,6,False,False
2023-07-22,Vermont,0.0,0.0,0.48,0.06,0.53,2023-2024,False,VT,1,False,False
2023-07-22,Washington,0.01,0.01,1.11,0.09,1.2,2023-2024,False,WA,10,False,False
2023-07-22,Wyoming,0.0,0.0,0.56,0.03,0.58,2023-2024,False,WY,8,False,False
2023-07-22,Colorado,0.0,0.01,0.5,0.06,0.56,2023-2024,False,CO,8,False,False
2023-07-22,Connecticut,0.0,0.0,0.52,0.03,0.55,2023-2024,False,CT,1,False,False
2023-07-22,Idaho,0.01,0.01,0.39,0.07,0.44,2023-2024,False,ID,10,False,False
2023-07-22,Indiana,0.01,0.01,0.41,0.03,0.46,2023-2024,False,IN,5,False,False
2023-07-22,Oklahoma,0.02,0.01,0.39,0.05,0.46,2023-2024,False,OK,6,False,False
2023-07-22,Rhode Island,0.03,0.02,0.48,0.08,0.59,2023-2024,False,RI,1,False,False
2023-07-22,Virginia,0.01,0.01,0.75,0.14,0.89,2023-2024,False,VA,3,False,False
2023-07-29,Florida,0.12,0.1,2.55,0.59,3.22,2023-2024,False,FL,4,False,False
2023-07-29,Hawaii,0.03,0.01,3.22,1.19,4.35,2023-2024,False,HI,9,False,False
2023-07-29,Idaho,0.01,0.01,0.49,0.05,0.54,2023-2024,False,ID,10,False,False
2023-07-29,Illinois,0.02,0.01,0.74,0.07,0.83,2023-2024,False,IL,5,False,False
2023-07-29,Indiana,0.02,0.01,0.65,0.06,0.73,2023-2024,False,IN,5,False,False
2023-07-29,Kansas,0.0,0.01,0.55,0.03,0.57,2023-2024,False,KS,7,False,False
2023-07-29,Kentucky,0.01,0.02,0.67,0.07,0.75,2023-2024,False,KY,4,False,False
2023-07-29,Louisiana,0.04,0.03,2.1,0.16,2.3,2023-2024,False,LA,6,True,False
2023-07-29,Michigan,0.01,0.01,0.5,0.03,0.53,2023-2024,False,MI,5,False,False
2023-07-29,Montana,0.0,0.0,0.68,0.02,0.7,2023-2024,False,MT,8,False,False
2023-07-29,Nebraska,0.02,0.01,0.45,0.01,0.48,2023-2024,False,NE,7,False,False
2023-07-29,New Hampshire,0.02,0.01,0.69,0.1,,2023-2024,False,NH,1,False,False
2023-07-29,North Carolina,0.02,0.01,1.21,0.32,1.52,2023-2024,False,NC,4,True,False
2023-07-29,Pennsylvania,0.01,0.01,0.5,0.06,0.57,2023-2024,False,PA,3,False,False
2023-07-29,Rhode Island,0.0,0.02,0.55,0.02,0.56,2023-2024,False,RI,1,False,False
2023-07-29,Vermont,0.0,0.0,0.69,0.04,0.72,2023-2024,False,VT,1,False,False
2023-07-29,New Mexico,0.01,0.0,1.15,0.07,1.23,2023-2024,False,NM,6,False,False
2023-07-29,New Jersey,0.01,0.01,0.65,0.07,0.72,2023-2024,False,NJ,2,False,False
2023-07-29,Iowa,0.04,0.04,0.98,0.18,1.19,2023-2024,False,IA,7,False,False
2023-07-29,District of Columbia,0.01,0.03,0.71,0.1,0.82,2023-2024,False,DC,3,False,False
2023-07-29,Delaware,0.02,0.01,0.84,0.06,0.92,2023-2024,False,DE,3,False,False
2023-07-29,California,0.01,0.01,1.25,0.08,1.3,2023-2024,False,CA,9,False,False
